,base case,w/ wire sync,w/ esp sync,w/o sync
MKV 11,1.0,0.9820358274699686,0.9740582889903244,1.001479501340798
MKV 12,1.0,1.014459762471119,0.9393644866187516,0.8097893273993743
MKV 13,1.0,1.0419272151382064,1.0406129079658444,1.0599846528106582
MKV 14,1.0,1.1169564071573324,1.0620677747385066,0.9996546741669015
MKV 15,1.0,1.0071856039427636,0.9849523375646255,0.781663940140675
MKV 16,1.0,1.0203228856689934,0.9847248101899491,0.9120963929137581
MKV 17,1.0,1.0515493512245535,0.9335886878496088,0.8940798215252375
MKV 18,1.0,1.0123814875913202,0.9646592824900748,1.009580697206461
MKV 19,1.0,1.012669964765773,0.958909354118935,0.9225684495145573
MKV 20,1.0,0.9658914728682171,0.9650868413305859,0.8631537631243253
